"01 Dronningen "; 92,6; 91,1
"011 Statsydelse "; 92,6; 91,1
"0111 Statsydelse "; 92,6; 91,1
"011101 Statsydelse "; 92,6; 91,1
"01110110 Almindelig virksomhed "; 92,6; 91,1
"22 Andre ordinære driftsomkostninger "; 92,6; 91,1
"2200 Andre ordinære driftsomkostninger "; 92,6; 0,0
"2240 Øvrige driftsaktiviteter "; 0,0; 91,1
"02 Medlemmer af det kongelige hus m.fl. "; 28,8; 28,3
"021 Årpenge mv. "; 28,8; 28,3
"0211 Årpenge mv. "; 28,8; 28,3
"021101 Årpenge mv. "; 28,8; 28,3
"02110110 Almindelig virksomhed "; 28,8; 28,3
"22 Andre ordinære driftsomkostninger "; 28,8; 28,3
"2200 Andre ordinære driftsomkostninger "; 28,8; 0,0
"2240 Øvrige driftsaktiviteter "; 0,0; 28,3
"03 Folketinget "; 1436,3; 1420,0
"031 Udgifter ved Folketinget "; 995,3; 977,7
"0311 Folketinget "; 995,3; 977,7
"031101 Folketinget "; 518,7; 515,4
"03110110 Almindelig virksomhed "; 477,2; 479,2
"11 Salg af varer "; -4,5; -5,8
"1100 Salg af varer "; -4,5; 0,0
"1150 Husleje og boligindtægter "; 0,0; -0,1
"1160 Leje af arealer, forpagt.indt. "; 0,0; -1,6
"1180 Salg af varer, tj.og leje "; 0,0; -4,0
"16 Husleje, leje af arealer,leasing "; 20,5; 17,7
"1600 Husleje, leje af arealer,leasing "; 20,5; 0,0
"1610 Husleje "; 0,0; 17,7
"18 Lønninger / personaleomkostninger "; 288,4; 274,7
"1800 Lønninger / personaleomkostninger "; 288,4; 0,0
"1811 Egentlig løn "; 0,0; 230,0
"1818 Egentlig løn, manuel "; 0,0; 0,9
"1831 Overarbejde "; 0,0; 2,5
"1841 Merarbejde "; 0,0; 2,6
"1851 Løn og overarbejde "; 0,0; 2,5
"1871 Frivilling fratræd.ordning "; 0,0; 0,0
"1881 Pensionsbidrag "; 0,0; 39,4
"1889 Barselsfonden tilskud bslf. "; 0,0; 0,0
"1891 Øvr.komp.fravær pers. "; 0,0; -3,2
"22 Andre ordinære driftsomkostninger "; 160,5; 190,9
"2200 Andre ordinære driftsomkostninger "; 160,5; 0,0
"2210 Rejser og befordring "; 0,0; 0,9
"2220 Repræsentation "; 0,0; 3,9
"2230 Rep. og vedligeholdelse "; 0,0; 32,1
"2232 Arb.bidr.ejend.skat.og afgif. "; 0,0; 1,9
"2236 Omk.dækk. og kontante godtgør. "; 0,0; 0,7
"2237 Kantinetilskud "; 0,0; 6,6
"2238 AER - tilskud/refusion "; 0,0; 0,0
"2260 Køb af IT-varer til forbrug "; 0,0; 7,2
"2265 Køb af IT-tjenesteydelser "; 0,0; 46,2
"2270 Køb af tj.ydelser i øvrigt "; 0,0; 62,4
"2280 Køb øvrige varer til forbrug "; 0,0; 28,9
"2291 Over-und.sk.kasse,kurs.momsdif "; 0,0; 0,0
"25 Finansielle indtægter "; 0,0; 0,0
"2540 Renteindt.øvr.pengeinstitutter "; 0,0; 0,0
"26 Finansielle omkostninger "; 0,0; 1,1
"2680 Morarenter og gebyrer til offentlige myndighe "; 0,0; 1,1
"2690 Øvrige renteudgifter "; 0,0; 0,0
"44 Tilskud til personer "; 0,5; 0,6
"4400 Tilskud til personer "; 0,5; 0,0
"4423 Fratræd.ord.suppl.ydl.mm "; 0,0; 0,6
"51 Anlægsaktiver (anskaffelser) "; 11,8; 0,0
"5100 Anlægsaktiver (anskaffelser) "; 11,8; 0,0
"03110130 Udvalgsarbejde "; 19,1; 14,6
"22 Andre ordinære driftsomkostninger "; 19,1; 14,6
"2200 Andre ordinære driftsomkostninger "; 19,1; 0,0
"2210 Rejser og befordring "; 0,0; 9,1
"2220 Repræsentation "; 0,0; 5,4
"2270 Køb af tj.ydelser i øvrigt "; 0,0; 0,1
"2280 Køb øvrige varer til forbrug "; 0,0; 0,1
"03110140 Interparlamentariske forsamlinger "; 22,4; 21,6
"22 Andre ordinære driftsomkostninger "; 12,3; 12,2
"2200 Andre ordinære driftsomkostninger "; 12,3; 0,0
"2210 Rejser og befordring "; 0,0; 5,3
"2220 Repræsentation "; 0,0; 6,7
"2270 Køb af tj.ydelser i øvrigt "; 0,0; 0,1
"2280 Køb øvrige varer til forbrug "; 0,0; 0,0
"41 Overførselsudgifter til EU og øvrige udland "; 10,1; 9,4
"4100 Overførselsudgifter til EU og øvrige udland "; 10,1; 0,0
"4140 Andre internationale org. "; 0,0; 9,4
"031103 Folketingets medlemmer "; 449,2; 448,8
"03110310 Folketingsvederlag og boliggodtgørelse "; 234,5; 188,1
"22 Andre ordinære driftsomkostninger "; 5,8; 3,8
"2200 Andre ordinære driftsomkostninger "; 5,8; 0,0
"2232 Arb.bidr.ejend.skat.og afgif. "; 0,0; 0,6
"2236 Omk.dækk. og kontante godtgør. "; 0,0; 3,3
"2238 AER - tilskud/refusion "; 0,0; 0,0
"44 Tilskud til personer "; 183,0; 184,3
"4400 Tilskud til personer "; 183,0; 0,0
"4424 Understøt.supp.ydl.overf.pers. "; 0,0; 184,3
"46 Tilskud til anden virks. og invest.tilskud "; 45,7; 0,0
"4600 Tilskud til anden virks. og invest.tilskud "; 45,7; 0,0
"03110320 Befordringsudgifter "; 8,5; 8,8
"22 Andre ordinære driftsomkostninger "; 8,5; 8,8
"2200 Andre ordinære driftsomkostninger "; 8,5; 0,0
"2210 Rejser og befordring "; 0,0; 8,8
"03110330 Folketingsgruppestøtte "; 206,2; 251,9
"46 Tilskud til anden virks. og invest.tilskud "; 206,2; 251,9
"4600 Tilskud til anden virks. og invest.tilskud "; 206,2; 0,0
"4643 Løb.overførs. og øvr. tilskud "; 0,0; 251,9
"031104 Folketingsmedlemmers efteruddannelse "; 20,3; 2,9
"03110410 Efteruddannelse "; 20,3; 2,9
"22 Andre ordinære driftsomkostninger "; 20,3; 2,9
"2200 Andre ordinære driftsomkostninger "; 20,3; 0,0
"2270 Køb af tj.ydelser i øvrigt "; 0,0; 2,9
"031105 Erhvervelse af medlemsboliger "; 0,0; 0,0
"03110510 Erhvervelse og ombygning af medlemsboliger "; 0,0; 0,0
"51 Anlægsaktiver (anskaffelser) "; 0,0; 0,0
"5132 Bygninger anskaffelse "; 0,0; 0,0
"031106 Medlemsboliger "; 7,1; 10,5
"03110610 Drift af medlemsboliger "; 7,1; 10,5
"16 Husleje, leje af arealer,leasing "; 1,7; 1,5
"1600 Husleje, leje af arealer,leasing "; 1,7; 0,0
"1610 Husleje "; 0,0; 1,5
"22 Andre ordinære driftsomkostninger "; 3,8; 9,1
"2200 Andre ordinære driftsomkostninger "; 3,8; 0,0
"2230 Rep. og vedligeholdelse "; 0,0; 7,7
"2270 Køb af tj.ydelser i øvrigt "; 0,0; 0,9
"2280 Køb øvrige varer til forbrug "; 0,0; 0,4
"26 Finansielle omkostninger "; 0,0; 0,0
"2680 Morarenter og gebyrer til offentlige myndighe "; 0,0; 0,0
"51 Anlægsaktiver (anskaffelser) "; 1,6; 0,0
"5100 Anlægsaktiver (anskaffelser) "; 1,6; 0,0
"032 Folketingets Ombudsmand "; 105,0; 103,5
"0321 Folketingets Ombudsmand "; 105,0; 103,5
"032101 Folketingets Ombudsmand "; 105,0; 103,5
"03210110 Almindelig virksomhed "; 105,0; 103,5
"11 Salg af varer "; -0,1; 0,0
"1100 Salg af varer "; -0,1; 0,0
"1180 Salg af varer, tj.og leje "; 0,0; 0,0
"16 Husleje, leje af arealer,leasing "; 7,0; 7,0
"1600 Husleje, leje af arealer,leasing "; 7,0; 0,0
"1610 Husleje "; 0,0; 7,0
